喂,v,客户1,O
。,wp,客户1,O
,,,
喂,v,客服1,O
你好,i,客服1,O
。,wp,客服1,O
,,,
哎,e,客户1,O
你,r,客户1,O
好,a,客户1,O
。,wp,客户1,O
,,,
啊,e,客服1,O
你好,i,客服1,O
家长,n,客服1,O
我,r,客服1,O
这边,r,客服1,O
的,u,客服1,O
话,n,客服1,O
是,v,客服1,O
轻轻,a,客服1,O
家教,n,客服1,O
的,u,客服1,O
，,wp,客服1,O
因为,c,客服1,O
看到,v,客服1,O
您,r,客服1,O
关注,v,客服1,O
了,u,客服1,O
我们,r,客服1,O
亲亲,v,客服1,O
嘛,u,客服1,O
，,wp,客服1,O
所以,c,客服1,O
问,v,客服1,O
一下,m,客服1,O
您,r,客服1,O
这边,r,客服1,O
是,v,客服1,O
不,d,客服1,O
是,v,客服1,O
有,v,客服1,O
考虑,v,客服1,O
帮,v,客服1,O
家里,nl,客服1,O
的,u,客服1,O
孩子,n,客服1,O
找,v,客服1,O
个,q,客服1,O
上门,v,客服1,O
的,u,客服1,O
家教,n,客服1,O
老师,n,客服1,O
啊,u,客服1,O
？,wp,客服1,O
,,,
因为,c,客户1,O
我,r,客户1,O
在,p,客户1,O
这边,r,客户1,O
很,d,客户1,O
远,a,客户1,O
呢,u,客户1,O
在,p,客户1,O
东山,ns,客户1,B-ADDR
这边,r,客户1,O
呢,u,客户1,O
。,wp,客户1,O
,,,
东莞,ns,客服1,O
是,v,客服1,O
吗,u,客服1,O
？,wp,客服1,O
,,,
东山,ns,客户1,B-ADDR
。,wp,客户1,O
,,,
东山,ns,客服1,O
您,r,客服1,O
能,v,客服1,O
告知,v,客服1,O
我,r,客服1,O
一下,m,客服1,O
是,v,客服1,O
哪个,r,客服1,O
省份,n,客服1,O
吗,u,客服1,O
？,wp,客服1,O
,,,
就是,v,客户1,O
广东,ns,客户1,B-ADDR
。,wp,客户1,O
,,,
哦,e,客服1,O
广东,ns,客服1,B-ADDR
东山,ns,客服1,E-ADDR
是,v,客服1,O
吧,u,客服1,O
？,wp,客服1,O
,,,
啊,u,客户1,O
。,wp,客户1,O
,,,
啊,e,客服1,O
因为,p,客服1,O
我们,r,客服1,O
这边,r,客服1,O
的,u,客服1,O
话,n,客服1,O
是,v,客服1,O
上海,ns,客服1,O
的,u,客服1,O
，,wp,客服1,O
哦,e,客服1,O
那,r,客服1,O
那,r,客服1,O
可能,v,客服1,O
这个,r,客服1,O
信息,n,客服1,O
这个,r,客服1,O
分配,v,客服1,O
有,v,客服1,O
误,v,客服1,O
，,wp,客服1,O
但是,c,客服1,O
我们,r,客服1,O
现在,nt,客服1,O
的,u,客服1,O
话,n,客服1,O
也,d,客服1,O
会,v,客服1,O
有,v,客服1,O
一些,m,客服1,O
特别,d,客服1,O
好,a,客服1,O
的,u,客服1,O
一些,m,客服1,O
在线课,v,客服1,O
