喂,v,客户1,O
。,wp,客户1,O
,,,
哎,e,客服1,O
喂,v,客服1,O
你好,i,客服1,O
家长,n,客服1,O
，,wp,客服1,O
啊,e,客服1,O
我,r,客服1,O
是,v,客服1,O
轻轻,d,客服1,O
家教,n,客服1,O
的,u,客服1,O
助教,n,客服1,O
老师,n,客服1,O
，,wp,客服1,O
嗯,e,客服1,O
就是,d,客服1,O
看,v,客服1,O
哎,u,客服1,O
你,r,客服1,O
好,d,客服1,O
就是,v,客服1,O
看到,v,客服1,O
妈妈,n,客服1,O
前,nd,客服1,O
几,m,客服1,O
天,q,客服1,O
有,v,客服1,O
关注,v,客服1,O
平台,n,客服1,O
，,wp,客服1,O
所以,c,客服1,O
打电话,v,客服1,O
问,v,客服1,O
一下,m,客服1,O
是,v,客服1,O
想,v,客服1,O
给,p,客服1,O
小朋友,n,客服1,O
找,v,客服1,O
家教,n,客服1,O
吗,u,客服1,O
？,wp,客服1,O
,,,
嗯,nh,客户1,O
是,v,客户1,O
有,v,客户1,O
有点,d,客户1,O
这个,r,客户1,O
想法,n,客户1,O
还,d,客户1,O
没,d,客户1,O
决定,v,客户1,O
，,wp,客户1,O
就,d,客户1,O
是,v,客户1,O
我,r,客户1,O
在,p,客户1,O
网上,nl,客户1,O
自己,r,客户1,O
操作,v,客户1,O
时候,n,客户1,O
也,d,客户1,O
没,d,客户1,O
看到,v,客户1,O
特别,d,客户1,O
合适,a,客户1,O
的,u,客户1,O
。,wp,客户1,O
,,,
啊,e,客服1,O
因为,c,客服1,O
像,v,客服1,O
平台,n,客服1,O
的,u,客服1,O
话,n,客服1,O
就,d,客服1,O
是,v,客服1,O
妈妈,n,客服1,O
要是,c,客服1,O
看,v,客服1,O
的,u,客服1,O
话,n,客服1,O
只,d,客服1,O
能,v,客服1,O
通过,p,客服1,O
链接,n,客服1,O
看,v,客服1,O
嘛,u,客服1,O
，,wp,客服1,O
那,r,客服1,O
其它,r,客服1,O
啊,u,客服1,O
就,d,客服1,O
是,v,客服1,O
客观,a,客服1,O
的,u,客服1,O
可能,n,客服1,O
看,v,客服1,O
的,u,客服1,O
不,d,客服1,O
是,v,客服1,O
特别,d,客服1,O
详细,a,客服1,O
，,wp,客服1,O
所以,c,客服1,O
说,v,客服1,O
我们,r,客服1,O
助教,v,客服1,O
的,u,客服1,O
话,n,客服1,O
会,v,客服1,O
根据,p,客服1,O
小朋友,n,客服1,O
情况,n,客服1,O
以及,c,客服1,O
家长,n,客服1,O
要求,v,客服1,O
帮,v,客服1,O
你们,r,客服1,O
推荐,v,客服1,O
性价比,n,客服1,O
高,a,客服1,O
的,u,客服1,O
合适,a,客服1,O
的,u,客服1,O
老师,n,客服1,O
给,v,客服1,O
到,v,客服1,O
您,r,客服1,O
，,wp,客服1,O
所以,c,客服1,O
你,r,客服1,O
可以,v,客服1,O
先,d,客服1,O
